20260716T,705.00,705.00,705.70,704.50,20260716.00
20260717T,695.00,695.00,695.41,694.11,20260717.00
20260719T,0.00,0.00,701.93,685.27,20260719.00
20260720T,695.00,695.00,696.60,695.42,20260720.00
20260721T,709.00,709.00,709.30,708.80,20260721.00
20260722T,707.00,707.00,706.53,700.89,20260722.00
20260723T,695.00,695.00,694.39,692.61,20260723.00
20260724T,685.00,685.00,684.36,683.34,20260724.00
20260726T,0.00,0.00,691.38,676.42,20260726.00
20260727T,682.00,682.00,681.59,679.61,20260727.00
20260728T,680.00,677.00,680.48,675.01,20260728.00
